,(553.3088886237956, 428.6575219373079),40,(507.9754336871412, 253.40980636994095),(529.8689563746414, 295.1430517737788)
,(545.0132409680918, 430.58046823997734),42,(507.34989275307294, 253.593454481482),(527.620769048304, 296.2240200867163)
,(536.7745620643437, 432.0850903872095),44,(506.72881548641516, 253.74398262217073),(525.3656264431775, 297.17234840093585)
,(528.6117985349144, 433.1778630626505),46,(506.1129551299713, 253.85830796128062),(523.1098606191374, 297.98325016956903)
,(520.4435091445945, 433.76606858593095),48,(505.5034828360124, 253.9335184266988),(520.8605119873133, 298.65249514054625)
,(512.5878316951444, 434.1577775458212),50,(504.90194021293405, 253.96690122896143),(518.6252342593218, 299.17647337372824)
,(504.76245080536194, 434.0618281131428),52,(504.3101918346976, 253.9559655694079),(516.4121971293841, 299.5522452797477)
,(497.08456662825813, 433.58780407186634),54,(503.7303778497043, 253.89845995795304),(514.2299879391219, 299.77757845527975)
,(489.57086455531953, 432.7460116088067),56,(503.16486676632195, 253.7923845009418),(512.087513308902, 299.85097208997615)
,(482.2374859561468, 431.5474549042461),58,(502.61620843854837, 253.6359984603978),(509.99390147535996, 299.7716696777691)
,(475.1, 430.0038105676658),60,(502.08708722540877, 253.42782333061496),(507.95840585254234, 299.5396606847428)
,(470.52073441788366, 432.54213892883905),62,(501.8237667582204, 255.1087149520181),(506.68132721025046, 303.0136925378968)
,(463.6638162844162, 430.42513671337923),64,(501.28801006081875, 254.79307278047963),(504.65746978511027, 302.48873162303164)
,(456.94313003061205, 427.89636406996414),66,(500.7815458964591, 254.42205833561093),(502.72082210624285, 301.81178105453984)
,(450.6718901111482, 425.26982036651634),68,(500.30720493251965, 253.995267845341),(500.8803899266555, 300.98577945185775)
,(444.562618632337, 422.2600407021681),70,(499.8677351644051, 253.51252141174336),(499.1448709754759, 300.0142888107106)
,(440.2722092687432, 423.73734711837),72,(499.4610138103814, 254.9268172180964),(497.5880394099042, 302.8118651608936)
,(434.5546694771249, 420.2577119922899),74,(499.0504384541582, 254.32921327942495),(495.9608195338601, 301.5557896570042)
,(429.1306274719601, 416.53548715311956),76,(498.6838440629011, 253.6758961119067),(494.46442090849615, 300.1652022933519)
,(425.0494028981311, 417.4777120880567),78,(498.22016389294134, 254.92810044193538),(492.8113652995201, 302.56584701913334)
,(420.06954043169696, 413.3528915964039),80,(497.9026211863102, 254.16091294821945),(491.47555903296694, 300.9087062319752)
,(416.10490661040757, 413.98082790528065),82,(497.40342253177283, 255.308552333855),(489.7634088743873, 303.05594566471865)
,(411.5981309594419, 409.4974084905101),84,(497.1476764266778, 254.4298296827319),(488.6201190081381, 301.14750237375137)
,(407.42442974313315, 404.84422527728157),86,(496.9482758924339, 253.4995927653058),(487.6426818744001, 299.13202146453915)
,(403.7644471537626, 405.0360368370051),88,(496.4431105554179, 254.48614581757738),(485.9573724901513, 300.90395498534326)
,(400.0, 400.0),90,(496.32078199227834, 253.4507758498935),(485.21192491799997, 298.6690295436774)
,(396.5100503297499, 399.93908270190957),92,(495.81109545187945, 254.33560833788442),(483.5410768331918, 300.20624551777246)
