(Ax,Ay),(Bx,By)
(351.58521368620023, 288.00390522001663),(526.9888533268169, 236.8147402026337)
(352.03691520308405, 286.31813220915006),(527.4771778346919, 236.56069500636323)
(347.79189160376654, 283.1040653093779),(526.008032253912, 236.42777591923615)
(348.4169058567751, 281.28889211708827),(526.5938084576873, 236.16687184298587)
(349.1048879988267, 279.49663736212483),(527.2406388942808, 235.92250451808627)
(345.1872725414439, 275.595801415452),(525.9046382435645, 235.674743497179)
(346.07235722204996, 273.69773119265534),(526.6645988356103, 235.4385195744206)
(342.7084064641698, 269.5843484189171),(525.4378110724153, 235.10572872653813)
(343.8083487540115, 267.6),(526.3223442570977, 234.88971124426263)
(340.73663326905023, 263.00565150367567),(525.2198731315817, 234.48573088159117)
(342.0673699211471, 260.9564967570477),(526.2400712109707, 234.30326703204662)
(339.423725421879, 256.0161060780645),(525.2757021388094, 233.8447594545019)
(340.99919347949583, 253.92538935057567),(526.4430063846532, 233.71024819586023)
(338.8164445504818, 248.67699122507688),(525.6291218658367, 233.21656085980493)
(340.6484139618085, 246.56955149129135),(526.9563747923113, 233.14506972815184)
(338.9561169712147, 241.05403851098524),(526.3042753537409, 232.63814557179546)
(337.58074665869026, 235.35941796952142),(525.7388718272432, 232.0953681064183)
(336.5325923959085, 229.5012415796475),(525.2624550781285, 231.52289518963613)
(335.72123903134604, 223.3955556881022),(524.8769528754974, 230.92713252085073)
(338.4338524674342, 221.1989246393278),(526.6434218513072, 231.09594285709463)
(338.38254850929036, 215.1532155906305),(526.4409998797569, 230.55260952718552)
(338.5887806182179, 208.9058670189454),(526.333232494203, 230.00770941933112)
(339.15928461318146, 202.57446894201098),(526.3206691184196, 229.46876370097)
(340.09999999999997, 196.17695154586738),(526.4034896427088, 228.94350290124314)
(341.4160546517637, 189.73155089263415),(526.5815373633601, 228.4398607841224)
(343.11175091741995, 183.2567739811083),(526.8543733184911, 227.96597013659803)
(343.056869969388, 172.10363593003586),(525.1530825733346, 226.15759677498886)
(345.78204395469277, 165.6583410878158),(525.5999062452686, 225.67180841293236)
(348.79697850114974, 159.14610688211374),(526.1328669949806, 225.23621836266884)
(352.2023658718832, 152.6862399742512),(526.7495032354258, 224.8586745039417)
(355.3089296797377, 143.89497441002314),(526.4314324844746, 223.60872132558802)
(358.9732777480565, 135.14972653308058),(526.2158282048877, 222.28065730957806)
(363.715454106892, 128.924169871584),(527.038401904985, 221.97825576437398)
(368.7433280199525, 122.73460445780256),(527.9215191802853, 221.7461760606507)
(374.0050435699877, 114.42473711095556),(527.9180424540889, 220.30291579436607)
(379.7169496628076, 106.16823040318667),(528.0326012580828, 218.72012223088865)
(386.1487052511749, 100.58718994803516),(529.0484832462992, 218.4399677282068)
(392.8583544342311, 92.72640339353761),(529.3737043896747, 216.54456242197432)
(400.09999999999997, 87.6),(530.502107264916, 215.9869078397469)
(407.6778892745503, 80.13401805579892),(531.2817806226318, 213.39734019851295)
(415.7952065924282, 75.64808869153953),(532.9830987632081, 211.70718365251264)
(422.9656013397991, 82.5483353881902),(558.1092651467044, 207.3183465097668)
(432.1098132208151, 72.3383441894388),(557.8388490475838, 206.19049636538875)
(441.7755626400632, 63.74613927707004),(559.4503478965781, 206.8097015184835)
(451.81803309091777, 56.785784317465854),(561.7348065613384, 209.02342648961883)
(462.697290486414, 49.035980826085876),(562.4756656166322, 208.9295496553235)
(473.83299268104736, 42.96249633649973),(563.7541362951663, 210.38395446396385)
(485.8522159390478, 36.181816728094866),(564.3864227328572, 209.72689092430858)
(497.57574084781567, 32.287603076016126),(565.5481070373593, 212.1331731305063)
(510.6089450576941, 26.58076290279769),(566.2835452980861, 210.96124267966434)
(523.1378345304295, 23.7524990631132),(567.149926770953, 212.59044140518586)
(535.995055504614, 21.473845647258237),(567.8655063213571, 213.85356141352804)
(549.1572211845203, 19.764139267290656),(568.5435516454173, 214.77294102646687)
