(Ax,Ay),(Bx,By),(Cx,Cy),(Dx,Dy)
(351.0824680584286, 378.5444488944695),(365.6552478248417, 355.2231262501677),(300.7401379562741, 459.10901802932983),(398.5102422073004, 302.6441442884693)
(348.374656428956, 376.7859754613414),(363.7524612744015, 353.98744221607774),(295.2513305992351, 455.5445448540703),(398.42242128958776, 302.58711271766515)
(345.7298641629463, 374.9340719796827),(361.8939586009893, 352.68610463437165),(289.89026519516136, 451.79068644530264),(398.3366442431226, 302.52705098312487)
(343.15131353237666, 372.9909947086218),(363.0603114804605, 347.28064521640334),(286.20262706475324, 445.88198941724363),(398.25301557402304, 302.4640322608202)
(340.6421461039952, 370.9591109885055),(361.43274341880766, 345.9626665871387),(281.18429220799027, 441.8182219770109),(398.1716371709404, 302.39813332935694)
(338.2054189118056, 368.84089635665896),(359.8521636184685, 344.58868952864367),(276.3108378236112, 437.58179271331795),(400.1, 300.1)
(335.84410073254276, 366.6389315313252),(358.32049777246016, 343.16038802031903),(271.5882014650855, 433.1778630626505),(400.1, 300.1)
(335.3594179695214, 362.6192533413098),(356.8396119796809, 341.67950222753984),(267.02213693734956, 428.61179853491444),(397.22264079864544, 302.878633481836)
(333.21696570703455, 360.32175457229727),(359.2270345987434, 336.90218334973724),(262.6182072866821, 423.8891621763888),(397.1274206980904, 302.7765224254355)
(331.156000119292, 357.9508848717886),(357.96755562845624, 335.4533185327597),(258.3817780229891, 419.01570779200983),(397.03582222752414, 302.67115043874617)
(329.17903217539504, 355.50953277930927),(356.7594085516304, 333.96138114291125),(254.31801058275644, 413.9973729352468),(396.9479569855731, 302.56264590130263)
(327.2884705062548, 353.0006727063226),(355.6040653093779, 332.4281888760861),(250.43185604063473, 408.8402716741076),(396.86393202250025, 302.45114100916993)
(325.48661847004627, 350.4273613123672),(354.50293350947277, 330.85560969089113),(244.6554551459297, 404.9486694007651),(391.8096242744496, 305.69192903470747)
(323.77567134592164, 347.79273378098844),(353.4573547113966, 329.2455595328263),(241.09098197067013, 399.45986204372593),(395.01171142306146, 303.2795155853992)
(322.15771365940054, 345.1),(352.4686027918559, 327.6),(237.72023679041774, 393.85),(394.9038475772934, 303.1)
(318.42734766054923, 343.526119557695),(347.0231444284644, 328.16829376715344),(234.54732633895117, 388.12591802235454),(394.80231444284647, 302.9168293767154)
(316.96155071732704, 340.6493310779897),(346.07235722204996, 326.30226880734466),(229.32913120315825, 383.3905178899247),(394.70723572220504, 302.7302268807345)
(315.5970451680595, 337.7231394845116),(345.187272541444, 324.404198584548),(226.52636304790587, 377.37996218440213),(394.6187272541444, 302.5404198584548)
(312.01753381615526, 335.68762637451164),(335.1971301803249, 326.3224615391139),(223.9350676323104, 371.27525274902337),(354.66799112622743, 318.45572307737973)
(310.82920102533876, 332.59191361593855),(334.3215165449865, 324.0414100327969),(221.55840205067742, 365.0838272318771),(394.4618442752846, 302.15212085995404)
(309.7496309519604, 329.4566144656201),(342.9366090222908, 318.54101966249686),(219.39926190392083, 358.81322893124),(392.4915478696388, 302.5721359549996)
(308.78013888585974, 326.2855488026149),(352.03691520308405, 313.88186779085),(217.4602777717194, 352.47109760522983),(391.44864473655514, 302.580736202353)
