,(574.4109722831608, 330.8357274470467),10,0,177
,(579.3350110482219, 331.7039683353813),10,0,182
,(584.2590498132829, 332.572209223716),10,0,187
,(589.1830885783439, 333.44045011205066),10,0,192
,(594.1071273434051, 334.3086910003853),10,0,197
,(599.031166108466, 335.17693188871993),10,0,202
,(603.9552048735271, 336.04517277705463),10,0,207
,(608.8792436385882, 336.91341366538927),10,0,212
,(613.8032824036492, 337.7816545537239),10,0,217
,(618.7273211687102, 338.64989544205855),10,0,222
,(623.6513599337712, 339.5181363303932),10,0,227
,(628.5753986988323, 340.38637721872783),10,0,232
,(633.4994374638933, 341.2546181070625),10,0,237
,(638.4234762289544, 342.12285899539717),10,0,242
,(643.3475149940153, 342.9910998837318),10,0,247
,(648.2715537590765, 343.85934077206645),10,0,252
,(653.1955925241375, 344.72758166040114),10,0,257
,(658.1196312891985, 345.5958225487358),10,0,262
,(663.0436700542596, 346.4640634370704),10,0,267
,(667.9677088193206, 347.33230432540506),10,0,272
,(672.8917475843816, 348.2005452137397),10,0,277
,(677.8157863494426, 349.0687861020744),10,0,282
,(679.7854018554671, 349.41608245740827),10,1,284
,(681.7550173614915, 349.7633788127421),10,1,286
,(683.7246328675159, 350.11067516807594),10,1,288
,(685.6942483735403, 350.4579715234098),10,1,290
,(687.6638638795647, 350.8052678787437),10,1,292
,(689.6334793855891, 351.15256423407754),10,1,294
,(691.6030948916135, 351.4998605894114),10,1,296
,(693.5727103976379, 351.8471569447453),10,1,298
,(698.4967491626991, 352.7153978330799),10,0,303
,(703.4207879277601, 353.58363872141456),10,0,308
,(708.3448266928211, 354.4518796097492),10,0,313
,(710.3144421988455, 354.79917596508307),10,1,315
,(712.28405770487, 355.14647232041693),10,1,317
,(714.2536732108944, 355.4937686757508),10,1,319
,(716.2232887169188, 355.84106503108467),10,1,321
,(718.1929042229432, 356.18836138641853),10,1,323
,(720.1625197289676, 356.5356577417524),10,1,325
,(722.132135234992, 356.8829540970862),10,1,327
,(724.1017507410164, 357.2302504524201),10,1,329
,(726.0713662470408, 357.57754680775395),10,1,331
,(718.1929042229432, 356.18836138641853),10,1,323
