,(342.9366090222908, 318.54101966249686),162,,,(342.9366090222908, 318.54101966249686)
,(352.03691520308405, 313.88186779085),164,,,(352.03691520308405, 313.88186779085)
,(356.4366923175802, 310.9864853019851),166,,,(356.4366923175802, 310.9864853019851)
,(356.0833579669788, 309.45602608679917),168,,,(356.0833579669788, 309.45602608679917)
,(355.78365111445066, 307.9141679950119),170,,,(355.78365111445066, 307.9141679950119)
,(355.53793690662934, 306.36278954320295),172,,,(355.53793690662934, 306.36278954320295)
,(355.3465147084277, 304.80378084704444),174,,,(355.3465147084277, 304.80378084704444)
,(355.2096177383079, 303.2390413184857),176,,,(355.2096177383079, 303.2390413184857)
,(355.1274127841407, 301.6704773516126),178,,,(355.1274127841407, 301.6704773516126)
,(355.1, 300.1),180,,,(355.1, 300.1)
,(355.1274127841407, 298.52952264838746),182,,,(355.1274127841407, 298.52952264838746)
,(355.2096177383079, 296.9609586815144),184,,,(355.2096177383079, 296.9609586815144)
,(355.3465147084277, 295.3962191529556),186,,,(355.3465147084277, 295.3962191529556)
,(355.53793690662934, 293.8372104567971),188,,,(355.53793690662934, 293.8372104567971)
,(350.85961234938964, 291.4175911166535),190,,,(350.85961234938964, 291.4175911166535)
,(351.19261996330977, 289.70441545911206),192,,,(351.19261996330977, 289.70441545911206)
,(351.58521368620023, 288.00390522001663),194,,,(351.58521368620023, 288.00390522001663)
,(352.03691520308405, 286.31813220915006),196,,,(352.03691520308405, 286.31813220915006)
,(347.79189160376654, 283.1040653093779),198,,,(347.79189160376654, 283.1040653093779)
,(348.4169058567751, 281.28889211708827),200,,,(343.6184427528455, 279.4787914004599)
,(349.1048879988267, 279.49663736212483),202,,,(344.3689687259928, 277.52360439504525)
,(345.1872725414439, 275.595801415452),204,,,(345.1872725414439, 275.595801415452)
,(346.07235722204996, 273.69773119265534),206,,,(346.07235722204996, 273.69773119265534)
,(342.7084064641698, 269.5843484189171),208,,,(347.0231444284644, 271.83170623284656)
,(343.8083487540115, 267.6),210,,,(343.8083487540115, 267.6)
,(340.73663326905023, 263.00565150367567),212,,,(340.73663326905023, 263.00565150367567)
,(342.0673699211471, 260.9564967570477),214,,,(342.0673699211471, 260.9564967570477)
,(339.423725421879, 256.0161060780645),216,,,(339.423725421879, 256.0161060780645)
,(340.99919347949583, 253.92538935057567),218,,,(340.99919347949583, 253.92538935057567)
,(338.8164445504818, 248.67699122507688),220,,,(338.8164445504818, 248.67699122507688)
,(340.6484139618085, 246.56955149129135),222,,,(340.6484139618085, 246.56955149129135)
,(338.9561169712147, 241.05403851098524),224,,,(338.9561169712147, 241.05403851098524)
,(337.58074665869026, 235.35941796952142),226,,,(337.58074665869026, 235.35941796952142)
,(336.5325923959085, 229.5012415796475),228,,,(336.5325923959085, 229.5012415796475)
,(335.72123903134604, 223.3955556881022),230,,,(335.72123903134604, 223.3955556881022)
,(338.4338524674342, 221.1989246393278),232,,,(338.4338524674342, 221.1989246393278)
,(338.38254850929036, 215.1532155906305),234,,,(338.38254850929036, 215.1532155906305)
,(338.5887806182179, 208.9058670189454),236,,,(338.5887806182179, 208.9058670189454)
,(339.15928461318146, 202.57446894201098),238,,,(339.15928461318146, 202.57446894201098)
,(340.09999999999997, 196.17695154586738),240,,,(340.09999999999997, 196.17695154586738)
,(341.4160546517637, 189.73155089263415),242,,,(341.4160546517637, 189.73155089263415)
,(343.11175091741995, 183.2567739811083),244,,,(343.11175091741995, 183.2567739811083)
,(343.056869969388, 172.10363593003586),246,,,(343.056869969388, 172.10363593003586)
,(345.78204395469277, 165.6583410878158),248,,,(347.5550769217723, 170.19426036064976)
,(348.79697850114974, 159.14610688211374),250,,,(348.79697850114974, 159.14610688211374)
,(352.2023658718832, 152.6862399742512),252,,,(352.2023658718832, 152.6862399742512)
,(355.3089296797377, 143.89497441002314),254,,,(355.3089296797377, 143.89497441002314)
,(358.9732777480565, 135.14972653308058),256,,,(358.9732777480565, 135.14972653308058)
,(363.715454106892, 128.924169871584),258,,,(363.715454106892, 128.924169871584)
,(368.7433280199525, 122.73460445780256),260,,,(368.7433280199525, 122.73460445780256)
,(374.0050435699877, 114.42473711095556),262,,,(374.0050435699877, 114.42473711095556)
,(379.7169496628076, 106.16823040318667),264,,,(379.7169496628076, 106.16823040318667)
,(386.1487052511749, 100.58718994803516),266,,,(386.1487052511749, 100.58718994803516)
,(392.8583544342311, 92.72640339353761),268,,,(392.8583544342311, 92.72640339353761)
,(400.09999999999997, 87.6),270,,,(400.09999999999997, 87.6)
,(407.6778892745503, 80.13401805579892),272,,,(407.6778892745503, 80.13401805579892)
,(415.7952065924282, 75.64808869153953),274,,,(415.3464242237076, 80.53590894283866)
,(422.9656013397991, 82.5483353881902),276,,,(422.99626191888365, 81.20518301897985)
,(432.1098132208151, 72.3383441894388),278,,,(432.1098132208151, 72.3383441894388)
,(441.7755626400632, 63.74613927707004),280,,,(441.7755626400632, 63.74613927707004)
,(451.81803309091777, 56.785784317465854),282,,,(445.7405719799071, 84.80752783856278)
,(462.697290486414, 49.035980826085876),284,,,(462.89969285591354, 47.72311116824088)
,(473.83299268104736, 42.96249633649973),286,,,(473.83299268104736, 42.96249633649973)
,(485.8522159390478, 36.181816728094866),288,,,(485.8522159390478, 36.181816728094866)
,(497.57574084781567, 32.287603076016126),290,,,(497.57574084781567, 32.287603076016126)
,(510.6089450576941, 26.58076290279769),292,,,(510.6089450576941, 26.58076290279769)
,(523.1378345304295, 23.7524990631132),294,,,(523.1378345304295, 23.7524990631132)
,(535.995055504614, 21.473845647258237),296,,,(535.995055504614, 21.473845647258237)
,(549.1572211845203, 19.764139267290656),298,,,(549.1572211845203, 19.764139267290656)
,(562.6, 18.641743770057445),300,,,(562.6, 18.641743770057445)
,(576.2981553575405, 18.124008027988303),302,,,(576.2981553575405, 18.124008027988303)
,(588.8276049213771, 20.29981926267345),304,,,(590.125587180054, 18.127225331285842)
,(602.8859120409031, 20.989136940643107),306,,,(602.8859120409031, 20.989136940643107)
,(615.5815163639804, 24.296236237647385),308,,,(615.5815163639804, 24.296236237647385)
,(629.8965704629377, 26.239111584965308),310,,,(629.8965704629377, 26.239111584965308)
,(642.6598448050861, 30.71000076444447),312,,,(600.7391819076573, 77.05655235678162)
