(Ax,Ay),(Bx,By)
(103,461,0, 0)
(770,216,0, 0)
(219,55,0, 0)
(442,436,0, 0)
(640,19,0, 0)
(242,117,0, 0)
(219,59,0, 0)
(759,419,0, 0)
(499,567,0, 0)
(188,442,0, 0)
(57,168,0, 0)
(97,529,0, 0)
(516,100,0, 0)
(212,175,0, 0)
(581,51,0, 0)
(562,39,0, 0)
(585,271,1, 0)
(298,237,0, 0)
(288,538,0, 0)
(301,300,0, 0)
(479,412,0, 0)
(619,200,0, 0)
(503,556,0, 0)
(243,233,0, 0)
(611,211,0, 0)
(625,456,0, 0)
(566,18,0, 0)
(746,156,0, 0)
(447,134,1, 0)
(540,544,0, 0)
(148,49,0, 0)
(429,406,0, 0)
(503,576,0, 0)
(359,317,0, 0)
(568,75,0, 0)
(82,371,0, 0)
(468,136,1, 0)
(428,342,0, 0)
(558,486,0, 0)
(746,535,0, 0)
(146,219,0, 0)
(576,102,0, 0)
(767,472,0, 0)
(732,475,0, 0)
(274,465,0, 0)
(636,90,0, 0)
(438,52,0, 0)
(455,217,0, 0)
(41,368,0, 0)
(137,236,0, 0)
(480,487,0, 0)
(526,182,1, 0)
(251,451,0, 0)
(325,435,0, 0)
(695,372,0, 0)
(164,265,0, 0)
(55,141,0, 0)
(660,351,0, 0)
(238,328,0, 0)
(748,226,0, 0)
(413,253,0, 0)
(335,131,0, 0)
(691,290,0, 0)
(391,234,0, 0)
(720,254,0, 0)
(322,308,0, 0)
(493,585,0, 0)
(346,215,0, 0)
(580,142,0, 0)
(404,255,0, 0)
(567,209,0, 0)
(367,178,0, 0)
(426,150,1, 0)
(380,64,0, 0)
(559,167,0, 0)
(517,493,0, 0)
(450,106,0, 0)
(272,141,0, 0)
(32,132,0, 0)
(275,566,0, 0)
(757,34,0, 0)
(61,65,0, 0)
(344,23,0, 0)
(384,81,0, 0)
(34,148,0, 0)
(209,320,0, 0)
(271,393,0, 0)
(414,216,0, 0)
(682,426,0, 0)
(384,86,0, 0)
(85,553,0, 0)
(312,381,0, 0)
(705,229,0, 0)
(540,288,1, 0)
(279,421,0, 0)
(321,499,0, 0)
(40,559,0, 0)
(728,560,0, 0)
(772,244,0, 0)
(698,56,0, 0)
(757,101,0, 0)
(246,150,0, 0)
(773,369,0, 0)
(475,253,0, 0)
(321,411,0, 0)
(566,528,0, 0)
(441,416,0, 0)
(214,580,0, 0)
(446,153,1, 0)
(193,382,0, 0)
(41,205,0, 0)
(658,564,0, 0)
(211,378,0, 0)
(250,208,0, 0)
(521,382,1, 0)
(182,494,0, 0)
(139,546,0, 0)
(41,298,0, 0)
(693,59,0, 0)
(222,477,0, 0)
(121,395,0, 0)
(18,196,0, 0)
(465,480,0, 0)
(524,304,0, 0)
(537,264,0, 0)
(272,540,0, 0)
(443,160,1, 0)
(682,397,0, 0)
(286,546,0, 0)
(494,573,0, 0)
(777,454,0, 0)
(520,280,0, 0)
(434,71,0, 0)
(284,498,0, 0)
(490,46,0, 0)
(169,268,0, 0)
(63,473,0, 0)
(733,95,0, 0)
(43,254,0, 0)
(581,329,1, 0)
(100,163,0, 0)
(424,580,0, 0)
(575,108,0, 0)
(190,514,0, 0)
(650,377,0, 0)
(64,369,0, 0)
(92,407,0, 0)
(356,376,0, 0)
(430,540,0, 0)
(441,282,0, 0)
(701,256,0, 0)
(180,265,0, 0)
(517,391,1, 0)
(328,545,0, 0)
(357,519,0, 0)
(657,332,0, 0)
(536,87,0, 0)
(258,367,0, 0)
(509,477,0, 0)
(76,130,0, 0)
(323,293,0, 0)
(151,35,0, 0)
(382,284,0, 0)
(552,482,0, 0)
(590,400,0, 0)
(633,508,0, 0)
(730,479,0, 0)
(408,470,0, 0)
(469,416,0, 0)
(639,235,0, 0)
(336,247,0, 0)
(490,441,0, 0)
(640,565,0, 0)
(348,247,0, 0)
(271,71,0, 0)
(616,219,0, 0)
(759,263,0, 0)
(471,210,0, 0)
(537,124,0, 0)
(70,291,0, 0)
(756,393,0, 0)
(696,268,0, 0)
(80,160,0, 0)
(330,499,0, 0)
(547,282,1, 0)
(419,561,0, 0)
(556,390,1, 0)
(230,428,0, 0)
(679,370,0, 0)
(127,355,0, 0)
(351,271,0, 0)
(773,109,0, 0)
(624,453,0, 0)
(346,276,0, 0)
(356,523,0, 0)
(16,132,0, 0)
(454,455,0, 0)
(182,121,0, 0)
(296,260,0, 0)
(29,133,0, 0)
(214,379,0, 0)
(440,561,0, 0)
(71,249,0, 0)
(520,20,0, 0)
(727,327,0, 0)
(404,306,0, 0)
(492,245,0, 0)
(695,563,0, 0)
(279,357,0, 0)
(76,182,0, 0)
(445,166,1, 0)
(196,412,0, 0)
(195,131,0, 0)
(391,30,0, 0)
(22,101,0, 0)
(206,190,0, 0)
(688,168,0, 0)
(762,282,0, 0)
(689,559,0, 0)
(748,437,0, 0)
(482,117,0, 0)
(608,122,0, 0)
(353,339,0, 0)
(133,256,0, 0)
(40,196,0, 0)
(349,83,0, 0)
(223,317,0, 0)
(70,238,0, 0)
(76,149,0, 0)
(67,521,0, 0)
(18,429,0, 0)
(516,368,1, 0)
(453,281,0, 0)
(698,93,0, 0)
(167,300,0, 0)
(375,564,0, 0)
(302,55,0, 0)
(36,150,0, 0)
(207,150,0, 0)
(728,22,0, 0)
(168,158,0, 0)
(775,213,0, 0)
(429,383,0, 0)
(782,298,0, 0)
(237,475,0, 0)
(207,421,0, 0)
(651,564,0, 0)
(319,268,0, 0)
(627,182,0, 0)
(218,461,0, 0)
(451,32,0, 0)
(606,35,0, 0)
(676,60,0, 0)
(639,542,0, 0)
(294,110,0, 0)
(530,184,1, 0)
(449,196,0, 0)
(727,225,0, 0)
(464,152,1, 0)
(706,252,0, 0)
(389,204,0, 0)
(668,482,0, 0)
(195,355,0, 0)
(377,395,0, 0)
(489,123,0, 0)
(505,21,0, 0)
(407,583,0, 0)
(734,347,0, 0)
(658,191,0, 0)
(584,254,0, 0)
(524,544,0, 0)
(226,387,0, 0)
(64,473,0, 0)
(691,285,0, 0)
(50,511,0, 0)
(312,82,0, 0)
(60,15,0, 0)
(326,215,0, 0)
(458,164,1, 0)
(397,253,0, 0)
(197,459,0, 0)
(135,44,0, 0)
(67,135,0, 0)
(217,178,0, 0)
(476,129,1, 0)
(103,193,0, 0)
(539,489,0, 0)
(726,486,0, 0)
(243,490,0, 0)
(290,448,0, 0)
(417,111,0, 0)
(772,289,0, 0)
(163,404,0, 0)
(389,487,0, 0)
(426,511,0, 0)
(87,467,0, 0)
(199,521,0, 0)
(506,323,0, 0)
(72,352,0, 0)
(667,456,0, 0)
(383,31,0, 0)
(523,318,0, 0)
(451,144,1, 0)
(606,443,0, 0)
(131,343,0, 0)
(259,392,0, 0)
(582,164,0, 0)
(200,219,0, 0)
(127,174,0, 0)
(709,119,0, 0)
(398,466,0, 0)
(114,448,0, 0)
(740,300,0, 0)
(299,482,0, 0)
(230,251,0, 0)
(291,284,0, 0)
(450,368,0, 0)
(72,311,0, 0)
(563,572,0, 0)
(446,422,0, 0)
(73,47,0, 0)
(717,286,0, 0)
(593,204,0, 0)
(117,491,0, 0)
(41,357,0, 0)
(260,465,0, 0)
(635,209,0, 0)
(656,38,0, 0)
(376,451,0, 0)
(739,84,0, 0)
(353,301,0, 0)
(492,31,0, 0)
(687,194,0, 0)
(641,308,0, 0)
(38,487,0, 0)
(768,54,0, 0)
(723,241,0, 0)
(544,496,0, 0)
(40,38,0, 0)
(184,169,0, 0)
(365,129,0, 0)
