(Ax,Ay),(Bx,By)
(449,196,0, 0)
(445,107,0, 0)
(59,251,1, 0)
(125,461,1, 0)
(574,374,0, 0)
(80,184,1, 0)
(572,110,0, 0)
(470,509,0, 0)
(495,103,0, 0)
(344,102,0, 0)
(250,235,1, 0)
(224,364,1, 0)
(32,322,1, 0)
(139,72,1, 0)
(638,549,0, 0)
(402,245,0, 0)
(656,95,0, 0)
(319,218,1, 0)
(459,504,0, 0)
(56,423,1, 0)
(85,25,1, 0)
(57,255,1, 0)
(569,310,0, 0)
(253,255,1, 0)
(518,383,0, 0)
(762,539,2, 0)
(704,373,0, 0)
(330,486,1, 0)
(549,490,0, 0)
(216,524,1, 0)
(168,362,1, 0)
(753,439,2, 0)
(725,273,0, 0)
(654,406,0, 0)
(155,66,1, 0)
(423,225,0, 0)
(75,576,1, 0)
(646,186,0, 0)
(759,462,2, 0)
(508,548,0, 0)
(671,380,0, 0)
(438,449,0, 0)
(608,160,0, 0)
(49,227,1, 0)
(134,182,1, 0)
(288,80,1, 0)
(291,281,1, 0)
(651,304,0, 0)
(64,99,1, 0)
(642,417,0, 0)
(241,17,0, 0)
(50,324,0, 0)
(436,143,0, 0)
(198,456,1, 0)
(456,301,0, 0)
(98,496,1, 0)
(623,279,0, 0)
(623,281,0, 0)
(642,70,0, 0)
(783,440,2, 0)
(39,506,1, 0)
(611,160,0, 0)
(681,428,2, 0)
(268,505,1, 0)
(598,328,0, 0)
(393,479,0, 0)
(47,259,1, 0)
(219,452,1, 0)
(51,247,1, 0)
(379,83,0, 0)
(195,308,1, 0)
(655,339,0, 0)
(97,116,1, 0)
(116,144,1, 0)
(606,372,0, 0)
(402,85,0, 0)
(382,447,0, 0)
(352,407,1, 0)
(46,178,1, 0)
(406,89,0, 0)
(414,320,0, 0)
(530,483,0, 0)
(61,453,1, 0)
(448,34,0, 0)
(711,74,2, 0)
(276,287,1, 0)
(148,560,1, 0)
(489,20,0, 0)
(448,38,0, 0)
(687,225,0, 0)
(534,117,0, 0)
(572,184,0, 0)
(687,145,2, 0)
(381,536,0, 0)
(372,19,0, 0)
(461,62,0, 0)
(569,54,0, 0)
(243,240,0, 0)
(567,56,0, 0)
(768,160,2, 0)
(457,84,0, 0)
(785,532,2, 0)
(35,343,1, 0)
(603,130,0, 0)
(61,128,1, 0)
(511,146,0, 0)
(134,23,1, 0)
(172,288,1, 0)
(480,392,0, 0)
(761,418,2, 0)
(339,393,1, 0)
(71,136,1, 0)
(43,86,1, 0)
(596,381,0, 0)
(579,511,0, 0)
(34,337,1, 0)
(83,309,1, 0)
(628,373,0, 0)
(524,418,0, 0)
(587,434,0, 0)
(622,212,0, 0)
(64,573,1, 0)
(263,196,1, 0)
(322,467,1, 0)
(555,248,0, 0)
(309,35,0, 0)
(108,389,1, 0)
(298,349,1, 0)
(319,129,1, 0)
(640,96,0, 0)
(351,347,1, 0)
(172,475,1, 0)
(142,129,1, 0)
(525,305,0, 0)
(340,80,0, 0)
(576,339,0, 0)
(681,552,0, 0)
(413,76,0, 0)
(570,159,0, 0)
(301,173,1, 0)
(625,459,0, 0)
(769,457,2, 0)
(377,52,0, 0)
(238,497,1, 0)
(335,45,0, 0)
(610,399,0, 0)
(514,484,0, 0)
(310,197,1, 0)
(31,30,1, 0)
(69,446,1, 0)
(409,204,0, 0)
(521,337,0, 0)
(534,195,0, 0)
(111,413,1, 0)
(577,248,0, 0)
(776,543,2, 0)
(559,270,0, 0)
(271,573,0, 0)
(261,513,1, 0)
(543,522,0, 0)
(687,581,0, 0)
(500,44,0, 0)
(658,64,0, 0)
(321,136,1, 0)
(198,117,1, 0)
(377,525,0, 0)
(210,372,1, 0)
(197,230,1, 0)
(152,384,0, 0)
(744,174,2, 0)
(366,220,1, 0)
(44,306,0, 0)
(625,150,0, 0)
(95,37,1, 0)
(285,34,0, 0)
(145,296,1, 0)
(648,209,0, 0)
(638,102,0, 0)
(404,499,0, 0)
(750,473,2, 0)
(140,213,1, 0)
(349,376,1, 0)
(247,279,1, 0)
(116,257,1, 0)
(250,222,0, 0)
(518,478,0, 0)
(210,216,1, 0)
(318,572,0, 0)
(533,230,0, 0)
(418,314,0, 0)
(508,284,0, 0)
(323,456,1, 0)
(355,543,0, 0)
(127,497,1, 0)
(150,513,1, 0)
(413,146,0, 0)
(400,474,0, 0)
(402,143,0, 0)
(430,35,0, 0)
(610,584,0, 0)
(690,568,0, 0)
(90,511,1, 0)
(640,45,0, 0)
(239,186,0, 0)
(517,115,0, 0)
(144,501,1, 0)
(79,323,1, 0)
(770,332,0, 0)
(391,139,0, 0)
(279,111,1, 0)
(496,350,0, 0)
(319,566,0, 0)
(614,281,0, 0)
(780,96,2, 0)
(420,461,0, 0)
(223,59,1, 0)
(640,138,0, 0)
(271,207,1, 0)
(58,467,1, 0)
(383,298,1, 0)
(574,25,0, 0)
(620,418,0, 0)
(72,260,0, 0)
(423,168,0, 0)
